2010-09-26 21:53:41 Notice: Notice (8): Undefined variable: profile in [/home/akeda/www/poliklinik/app/views/layouts/default.ctp, line 30]
2010-09-26 21:53:41 Notice: Notice (8): Undefined variable: profile in [/home/akeda/www/poliklinik/app/views/layouts/default.ctp, line 85]
2010-09-26 21:54:42 Notice: Notice (8): Undefined variable: profile in [/home/akeda/www/poliklinik/app/views/layouts/default.ctp, line 30]
2010-09-26 21:54:42 Notice: Notice (8): Undefined variable: profile in [/home/akeda/www/poliklinik/app/views/layouts/default.ctp, line 85]
2010-10-01 08:04:26 Notice: Notice (8): Undefined variable: medicines in [/home/akeda/www/poliklinik/app/controllers/medicine_ins_controller.php, line 32]
2010-10-01 08:06:24 Notice: Notice (8): Undefined variable: item_id in [/home/akeda/www/poliklinik/app/controllers/medicine_ins_controller.php, line 21]
2010-10-02 09:22:32 Notice: Notice (8): Undefined property: FormHelper::$isFieldError in [/home/akeda/www/poliklinik/app/views/checkups/add.ctp, line 41]
2010-10-02 09:22:40 Notice: Notice (8): Undefined property: FormHelper::$fieldError in [/home/akeda/www/poliklinik/app/views/checkups/add.ctp, line 41]
2010-10-04 08:00:29 Notice: Notice (8): Undefined property: Checkup::$Checkup in [/home/akeda/www/poliklinik/app/models/checkup.php, line 83]
2010-10-04 08:00:30 Notice: Notice (8): Trying to get property of non-object in [/home/akeda/www/poliklinik/app/models/checkup.php, line 83]
2010-10-04 10:28:37 Notice: Notice (8): Undefined property: Checkup::$0 in [/home/akeda/www/poliklinik/cake/libs/model/model.php, line 576]
2010-10-04 20:30:21 Notice: Notice (8): Undefined index: anamnesis in [/home/akeda/www/poliklinik/app/models/checkup.php, line 124]
2010-10-04 20:30:26 Notice: Notice (8): Undefined index: anamnesis in [/home/akeda/www/poliklinik/app/models/checkup.php, line 124]
2010-10-04 20:31:25 Notice: Notice (8): Undefined index: anamnesis in [/home/akeda/www/poliklinik/app/models/checkup.php, line 127]
2010-10-04 20:31:44 Notice: Notice (8): Undefined index: anamnesis in [/home/akeda/www/poliklinik/app/models/checkup.php, line 127]
2010-10-04 20:32:04 Notice: Notice (8): Undefined index: anamnesis in [/home/akeda/www/poliklinik/app/models/checkup.php, line 127]
2010-10-04 20:32:17 Notice: Notice (8): Undefined index: anamnesis in [/home/akeda/www/poliklinik/app/models/checkup.php, line 127]
2010-10-04 21:18:02 Notice: Notice (8): Undefined index: Checkup in [/home/akeda/www/poliklinik/app/controllers/checkups_controller.php, line 440]
2010-10-04 21:18:02 Notice: Notice (8): Undefined index: medic_data in [/home/akeda/www/poliklinik/app/controllers/checkups_controller.php, line 440]
2010-10-04 21:18:02 Notice: Notice (8): Undefined index: Checkup in [/home/akeda/www/poliklinik/app/controllers/checkups_controller.php, line 408]
2010-10-04 21:18:02 Notice: Notice (8): Undefined index: medic_data in [/home/akeda/www/poliklinik/app/controllers/checkups_controller.php, line 408]
2010-10-04 21:21:36 Notice: Notice (8): Undefined index: Unit in [/home/akeda/www/poliklinik/app/controllers/checkups_controller.php, line 403]
2010-10-07 11:54:45 Notice: Notice (8): Undefined index: PatientType in [/home/akeda/www/poliklinik/app/controllers/checkups_controller.php, line 240]
2010-10-07 11:54:45 Notice: Notice (8): Undefined index: PatientType in [/home/akeda/www/poliklinik/app/controllers/checkups_controller.php, line 241]
2010-10-07 11:54:45 Notice: Notice (8): Undefined index: PatientType in [/home/akeda/www/poliklinik/app/controllers/checkups_controller.php, line 243]
2010-10-07 11:55:58 Notice: Notice (8): Undefined property: BehaviorCollection::$Patient in [/home/akeda/www/poliklinik/app/controllers/checkups_controller.php, line 227]
2010-10-07 12:06:34 Notice: Notice (8): Undefined variable: patients in [/home/akeda/www/poliklinik/app/controllers/checkups_controller.php, line 248]
2010-10-07 12:10:46 Notice: Notice (8): Undefined variable: patients in [/home/akeda/www/poliklinik/app/controllers/checkups_controller.php, line 253]
